"country_name","wins"
"Russia","5213"
"United States","4612"
"France","2800"
"Italy","2469"
"Czech Republic","2164"
"Spain","2117"
"Germany","1734"
"Slovakia","1401"
"Australia","1390"
"Belgium","1353"
