"player_name","wins"
"Serena Williams","662"
"Maria Sharapova","559"
"Venus Williams","558"
"Jelena Jankovic","550"
"Svetlana Kuznetsova","500"
"Elena Dementieva","493"
"Daniela Hantuchova","490"
"Kim Clijsters","471"
"Caroline Wozniacki","458"
"Agnieszka Radwanska","457"
