"player_age","matches_played","win_percentage"
"10.0","254","37.4015748031496062992126"
"15.0","16530","48.4271022383545069570478"
"20.0","40421","50.0383464040968803344796"
"25.0","27779","51.1429497102127506389719"
"30.0","5755","50.2519548218940052128584"
"35.0","271","38.0073800738007380073801"
"40.0","129","37.984496124031007751938"
"45.0","26","19.2307692307692307692308"
